Source,Target,Type,Weight
1,473,Undirected,1
1,474,Undirected,5
1,516,Undirected,3
1,536,Undirected,29
1,864,Undirected,1
1,869,Undirected,137
1,1217,Undirected,2
1,1220,Undirected,33
1,1247,Undirected,15
1,1308,Undirected,16
1,1364,Undirected,22
1,1390,Undirected,25
1,1401,Undirected,5
1,1411,Undirected,16
1,1422,Undirected,18
1,1427,Undirected,18
1,1489,Undirected,3
1,1492,Undirected,8
1,1498,Undirected,1
1,1500,Undirected,1
1,1505,Undirected,2
1,1511,Undirected,11
1,1522,Undirected,2
1,1523,Undirected,1
1,1528,Undirected,10
1,1533,Undirected,3
1,1534,Undirected,2
1,1535,Undirected,1
1,1537,Undirected,1
1,1538,Undirected,2
1,1539,Undirected,10
1,1540,Undirected,1
1,1541,Undirected,1
1,1542,Undirected,20
1,1549,Undirected,2
1,1550,Undirected,1
1,1555,Undirected,1
1,1578,Undirected,84
1,2042,Undirected,8
1,2043,Undirected,1
1,2045,Undirected,3
1,2046,Undirected,11
1,2059,Undirected,9
1,2065,Undirected,1
1,2069,Undirected,28
1,2101,Undirected,1
1,2102,Undirected,1
1,2106,Undirected,2
1,2107,Undirected,4
1,2109,Undirected,1
1,2111,Undirected,1
1,2112,Undirected,3
1,2114,Undirected,1
1,2115,Undirected,1
1,2116,Undirected,1
1,2117,Undirected,1
1,2118,Undirected,1
1,2119,Undirected,1
1,2120,Undirected,1
1,2121,Undirected,1
1,2122,Undirected,1
1,2123,Undirected,1
1,2124,Undirected,1
1,2125,Undirected,1
1,2126,Undirected,1
1,2127,Undirected,1
1,2128,Undirected,1
1,2133,Undirected,1
1,2135,Undirected,1
1,2140,Undirected,3
1,2144,Undirected,10
1,2149,Undirected,3
1,2154,Undirected,5
1,2157,Undirected,2
1,2161,Undirected,1
1,2162,Undirected,1
1,2166,Undirected,1
1,2169,Undirected,2
1,2170,Undirected,1
1,2172,Undirected,7
1,2175,Undirected,1
1,2177,Undirected,1
1,2187,Undirected,4
1,2191,Undirected,1
1,2193,Undirected,1
1,2194,Undirected,28
1,2207,Undirected,1
1,2208,Undirected,1
1,2210,Undirected,1
1,2212,Undirected,17
1,2226,Undirected,5
1,2227,Undirected,1
1,2228,Undirected,18
1,2235,Undirected,2
1,2236,Undirected,2
1,2237,Undirected,1
1,2238,Undirected,1
1,2239,Undirected,1
1,2243,Undirected,1
1,2248,Undirected,2
1,2269,Undirected,6
1,2270,Undirected,5
1,2272,Undirected,9
1,2274,Undirected,4
1,2275,Undirected,2
1,2277,Undirected,4
1,2282,Undirected,12
1,2287,Undirected,1
1,2289,Undirected,1
1,2294,Undirected,4
1,2295,Undirected,2
1,2297,Undirected,2
1,2302,Undirected,9
1,2306,Undirected,14
1,2317,Undirected,4
1,2324,Undirected,3
1,2342,Undirected,1
1,2350,Undirected,2
1,2351,Undirected,1
1,2353,Undirected,1
1,2354,Undirected,2
1,2357,Undirected,3
1,2358,Undirected,1
1,2359,Undirected,3
1,2360,Undirected,2
1,2362,Undirected,15
1,2369,Undirected,1
1,2372,Undirected,4
1,2376,Undirected,9
1,2388,Undirected,2
1,2393,Undirected,1
1,2394,Undirected,4
1,2396,Undirected,1
1,2399,Undirected,1
1,2406,Undirected,1
1,2407,Undirected,1
1,2408,Undirected,1
1,2409,Undirected,1
1,2410,Undirected,11
1,2415,Undirected,1
1,2416,Undirected,5
1,2425,Undirected,1
1,2426,Undirected,4
1,2428,Undirected,3
1,2431,Undirected,2
1,2435,Undirected,1
1,2439,Undirected,5
1,2441,Undirected,1
1,2448,Undirected,1
1,2451,Undirected,2
1,2452,Undirected,1
1,2453,Undirected,3
