,,MESURES DE CENTRALITÉ,,,,,,,,,,,,
Acteur,,Indexations,,Degré,,Degré pondéré,,Proximité harmonique,,Intermédiarité,,Vecteur propre,,
Nom,Prénom,Valeur,Rang,Valeur,Rang,Valeur,Rang,Valeur,Rang,Valeur,Rang,Valeur,Rang,
Oprescu,Georges,902,1,1141,2,3602,1,0.698,2,899471.7,1,0.82,2,
Nitobe,Inazo,584,2,724,7,2181,3,0.624,7,494490.5,4,0.526,7,
Drummond,Eric,471,3,629,8,1695,4,0.608,8,452170.2,5,0.483,10,
Halecki,Oscar de,361,4,583,9,1567,5,0.588,9,364123.4,7,0.489,9,
Luchaire,Julien,248,5,1268,1,2663,2,0.719,1,637005.3,2,1,1,
Harada,Ken,159,6,338,12,618,18,0.556,12,174343.8,11,0.321,20,
Destree,Jules,130,7,392,11,1258,7,0.565,10,45749.3,15,0.525,8,
Reynold,Gonzague de,109,8,322,13,985,11,0.551,13,50503.5,14,0.425,12,
Bergson,Henri,104,9,249,17,778,13,0.539,17,36478.5,17,0.317,22,
Hallsten-Kallia ,Arnie,103,10,246,18,500,22,0.539,18,87660.5,12,0.279,29,
Murray,Gilbert,100,11,293,14,1038,9,0.546,14,34299.2,18,0.406,14,
Lorentz,Hendrik Antoon,96,12,243,19,747,15,0.539,19,27704.5,21,0.345,15,
Walters,Captain Frank. P.,77,13,199,21,416,23,0.516,32,33953.6,19,0.22,50,
Spicer Simson,Gerard B.,71,14,42,266,123,81,0.428,807,10850.7,45,0.048,588,
Dufour-Feronce,Albert,66,15,177,27,375,29,0.527,23,28079.9,20,0.254,35,
Hamel,Van,58,16,135,41,289,35,0.501,55,25083.6,26,0.129,165,
Otlet,Paul,58,17,90,73,229,45,0.496,73,9053.5,54,0.12,182,
Bonnevie,Kristine,55,18,261,16,767,14,0.54,16,19112.4,30,0.428,11,
Curie Sklodowska,Marie,53,19,198,22,692,16,0.528,21,10969.4,44,0.342,16,
Avenol,Joseph,52,20,158,33,260,38,0.507,44,26653.4,22,0.192,66,
Vos van Steenwijk,J. E. de,49,21,1028,3,1322,6,0.676,3,445605,6,0.777,3,
Lafontaine,Henri,48,22,118,50,295,34,0.513,35,9008.8,55,0.209,54,
Parry,John,46,23,25,514,83,134,0.416,1022,4839,87,0.035,1330,
Dupierreux,R.,44,24,431,10,654,17,0.563,11,573145.2,3,0.334,17,
Millikan,Robert Andrew,43,25,180,25,593,19,0.525,26,6516.6,69,0.318,21,
Ruffini,Francesco,43,26,220,20,530,21,0.533,20,25444.7,24,0.331,18,
Castro,Aloysio de,42,27,162,32,590,20,0.522,30,4474.9,90,0.301,23,
Attolico,Bernardo,39,28,145,38,281,36,0.505,46,12958,42,0.217,51,
Godet,Marcel,35,29,178,26,371,31,0.525,25,17847.4,32,0.29,26,
Prezzolini,Giuseppe,35,30,947,4,1078,8,0.662,4,305853,8,0.772,4,
Rocco,Alfredo,35,31,187,24,406,26,0.528,22,13601.6,40,0.297,24,
Ames ,Herbert B.,34,32,80,93,159,62,0.495,74,10120.1,48,0.132,160,
Hoffer,Henri. P.,33,33,52,198,71,164,0.425,853,40634.7,16,0.04,1279,
Schmieden,W. Von,33,34,166,30,265,37,0.524,27,26091.5,23,0.251,36,
Casares,Julio,31,35,152,34,414,24,0.522,29,6525.6,68,0.267,31,
Comert,Pierre,31,36,128,43,190,53,0.504,47,19504.3,29,0.198,61,
Dopsch,Alfons,31,37,106,61,185,56,0.509,40,16799.3,34,0.205,56,
Radziwill,Gabrielle,31,38,110,57,176,58,0.497,69,15174.1,37,0.124,171,
Vernon Kellogg,,31,39,164,31,374,30,0.524,28,12376.1,43,0.285,28,
Zimmern,Alfred,29,40,137,40,240,41,0.513,36,10023.8,50,0.231,43,
Bannerjea,Debendra Nath,28,41,103,63,311,32,0.493,80,1627.4,167,0.184,72,
Einstein,Albert,28,42,125,44,387,28,0.516,31,4845.8,86,0.245,39,
Torres Quevedo,L. de,27,43,118,51,391,27,0.498,64,699.4,250,0.223,48,
Crowdy,Rachel,26,44,79,95,133,73,0.486,113,9358.6,52,0.088,295,
Hagberg Wright,C. T.,26,45,93,69,238,42,0.503,49,2711,122,0.191,67,
Stafford,K. I.,26,46,123,45,208,49,0.503,51,13533.4,41,0.199,60,
Thompson,J. David,26,47,269,15,411,25,0.543,15,21929,27,0.419,13,
Costermans,H.,25,48,39,335,84,126,0.444,602,2205.7,144,0.051,550,
Kruss,H. A. ,24,49,82,90,186,55,0.489,99,2343.6,133,0.171,91,
Rodriguez,Cristobal,24,50,94,68,142,69,0.494,79,6720.3,66,0.167,97,
Thomas,Albert,24,51,173,28,233,43,0.509,42,14030,38,0.287,27,
Painleve,Paul,23,52,76,107,245,40,0.493,83,1355.3,184,0.181,77,
Haas,Robert,22,53,140,39,182,57,0.513,34,16530.8,35,0.209,53,
Bose,Jagadis Chandra,21,54,122,47,300,33,0.512,37,5484.8,79,0.248,37,
Dreyfuss-Barney,Laure C.,21,55,76,105,154,63,0.501,54,7548,62,0.141,146,
Wilson,Florence,21,56,71,120,97,108,0.491,92,10229.9,46,0.098,250,
Baranyai,Zoltan,20,57,67,155,108,93,0.453,493,1529.2,174,0.104,219,
Bosanquet,Theodora,20,58,87,76,136,72,0.497,65,3842.8,98,0.193,64,
Headicar,B. M.,20,59,93,70,144,68,0.496,72,7835.5,60,0.164,100,
Hymans,Paul,20,60,54,192,92,114,0.487,109,3646,99,0.117,194,
McKinnon Wood,H.,20,61,52,199,99,105,0.484,129,3243.4,105,0.082,315,
Baie,Eugene,19,62,30,405,54,239,0.41,1627,509.6,285,0.038,1293,
Bailey,W. Lewis,19,63,59,175,107,95,0.482,141,5525.6,78,0.073,361,
Castillejo,Jose,19,64,149,35,211,47,0.508,43,8641.2,57,0.271,30,
Hill,Alex,18,65,116,53,161,60,0.498,63,5688.2,75,0.223,47,
BaloghEd,Eugene de,17,66,191,23,251,39,0.525,24,16279.8,36,0.326,19,
Focillon,Henri,17,67,116,52,209,48,0.499,58,5809.8,72,0.174,81,
Duggan,Stephen Pierce,16,68,63,167,96,109,0.486,114,5261.7,82,0.112,204,
Remoundos,Georges,16,69,108,60,150,64,0.512,38,10085.8,49,0.228,45,
Salter,Arthur,16,70,53,196,81,137,0.477,187,2253.8,139,0.082,318,
Dawson Johnston,W.,15,71,168,29,230,44,0.511,39,8157.2,59,0.293,25,
Gottl-Ottlilienfeld,Von,15,72,78,99,138,71,0.487,108,1380.2,181,0.17,95,
Hoffmann,Conrad,15,73,62,170,93,113,0.492,85,5100.1,85,0.153,106,
Maurette,Fernand,15,74,121,48,228,46,0.502,53,5610.4,77,0.224,46,
Parvan,V.,15,75,146,37,188,54,0.514,33,6990.6,63,0.267,32,
Rappard,William.E.,15,76,42,264,70,192,0.448,551,1395.6,177,0.06,464,
Hale,George E.,14,77,64,165,201,51,0.485,123,251.5,388,0.141,147,
Lange,Christian,14,78,17,707,32,427,0.398,1919,409.3,314,0.02,1594,
Leland,Waldo G.,14,79,104,62,167,59,0.497,68,2734.7,120,0.198,62,
Roland-Marcel,Pierre-Rene,14,80,92,71,148,67,0.5,56,4343.6,92,0.177,80,
Schramm,J. R.,14,81,60,174,150,65,0.491,90,1010.5,220,0.147,141,
Baud-Bovy,Daniel,13,82,60,171,110,92,0.472,235,945.4,224,0.117,192,
Castella,Gaston,13,83,60,172,114,87,0.499,57,824.4,233,0.171,90,
Garnett,J. C. Maxwell,13,84,55,189,83,133,0.484,128,3439.9,104,0.095,260,
Smets,Charles,13,85,63,168,97,107,0.487,111,1842.5,155,0.107,215,
Sweetser,Arthur,13,86,45,240,60,217,0.479,172,5637.9,76,0.084,311,
Velghe,Henri,13,87,37,348,54,243,0.409,1646,5943.3,71,0.033,1357,
Bacha,Eugene,12,88,120,49,160,61,0.498,62,4193.2,94,0.247,38,
Baugniet,Jean,12,89,26,487,48,271,0.467,294,2440.1,128,0.075,342,
Coleman,Algernon,12,90,73,113,126,76,0.488,102,543.1,275,0.161,101,
Gerard,Jean,12,91,85,82,116,85,0.497,66,2665.8,124,0.193,65,
Gilchrist,Huntington,12,92,50,210,71,163,0.493,82,9988.8,51,0.075,348,
Lugones,Leopoldo,12,93,78,101,204,50,0.504,48,1858.8,153,0.178,78,
Baker,P. J.,11,94,23,529,33,416,0.412,1598,4337.9,93,0.03,1401,
Giannini,Amedeo,11,95,64,164,80,139,0.479,165,4622.5,89,0.118,190,
Munch,Peter,11,96,42,262,87,123,0.48,160,914.2,227,0.112,205,
Rethlisberger,Ernest,11,97,14,820,32,429,0.438,677,20.5,596,0.043,686,
Reverdin,Henri,11,98,51,203,85,125,0.494,78,1328.2,186,0.118,191,
Rossi,Attilio,11,99,66,158,119,84,0.497,70,1758.2,162,0.135,154,
Seeger,Ch.,11,100,25,516,50,259,0.441,651,1237.7,195,0.041,1198,
Stoppani,Pietro,11,101,66,159,96,110,0.487,112,3627.8,100,0.121,177,
Vacaresco,Helene,11,102,149,36,195,52,0.497,71,5224.8,83,0.267,33,
Cavendish Bentinck,Victor,10,103,50,207,76,149,0.491,88,1563.2,171,0.108,209,
Gallavresi,Giuseppe,10,104,64,162,120,82,0.478,177,1144.1,204,0.145,143,
Gallie,Louis,10,105,64,163,80,138,0.493,81,5135.6,84,0.17,94,
Gremaud,Joseph,10,106,66,157,80,140,0.489,95,1608.2,168,0.15,123,
Hanotaux,Gabriel,10,107,17,703,17,742,0.45,521,390.4,318,0.057,487,
Leon,Quinones de,10,108,78,100,102,101,0.499,59,2652.8,125,0.142,145,
Pflegl,E. Von,10,109,31,394,44,305,0.479,169,415.5,311,0.085,306,
Rothbarth,Margarete,10,110,925,5,1011,10,0.653,5,250832.1,9,0.731,5,
Schnabel,Fritz,10,111,49,217,62,211,0.474,218,5437.1,80,0.095,262,
Verne,Henri,10,112,57,182,104,99,0.492,86,909.8,228,0.099,246,
Villiers,"Gerard ""Gerry"" H.",10,113,45,242,64,202,0.451,515,475.2,298,0.092,286,
Wallenskold,Axel,10,114,70,151,84,129,0.483,139,4386.3,91,0.122,174,
Warnotte,Daniel,10,115,56,187,79,144,0.495,77,1819.4,156,0.147,142,
Zubaty,J.,10,116,84,86,107,96,0.489,101,2566.1,127,0.151,107,
Balinski-Jundzill,Jean,9,117,52,197,74,160,0.484,125,3091.6,111,0.144,144,
Berczeviczy,Albert de,9,118,87,75,108,94,0.487,106,4666.3,88,0.16,102,
Busuioceanu,Al.,9,119,66,156,87,122,0.473,220,1989.2,149,0.139,149,
IshiiKik,Kikujiro,9,120,55,190,76,150,0.489,97,708.4,247,0.149,139,
Jelinek,Hanus,9,121,74,109,112,90,0.476,192,2220.1,142,0.141,148,
Lutostanski,Karol,9,122,95,67,114,88,0.509,41,3608.3,102,0.222,49,
Martin,William,9,123,77,103,123,80,0.499,60,1380.5,180,0.165,99,
Martin,Hubert S.,9,124,38,339,55,237,0.478,179,3475.4,103,0.059,467,
Meikle,H. W.,9,125,18,685,23,591,0.472,245,18540.7,31,0.044,659,
Nogueira,Julian,9,126,47,227,76,151,0.486,117,1776.5,159,0.123,172,
Ostertag,,9,127,29,424,49,270,0.484,130,494.4,291,0.094,264,
Picht,Werner,9,128,876,6,939,12,0.644,6,229831.6,10,0.683,6,
Rajchman,L.,9,129,78,102,90,118,0.489,100,25274.4,25,0.116,197,
Rondel,Georges,9,130,12,879,22,614,0.405,1692,52.3,524,0.023,1538,
Soehring,,9,131,70,149,101,104,0.503,50,1911,151,0.158,104,
Watterson,P. G.,9,132,39,338,58,225,0.484,134,2348.7,132,0.098,249,
BaloghE,Elemer,8,133,65,160,88,120,0.489,94,2137.9,146,0.17,92,
Bourgeois,Leon,8,134,40,295,48,272,0.481,149,1765.9,161,0.097,251,
Clauzel,,8,135,28,433,36,399,0.475,201,411.3,313,0.062,442,
Cummings,H. R.,8,136,33,369,45,293,0.446,582,2088.2,147,0.058,472,
Golay,Henri,8,137,11,903,14,838,0.439,666,387.1,321,0.051,553,
Huston,Howard,8,138,28,441,38,391,0.437,682,1324.5,187,0.043,679,
Jaspar,Henri,8,139,14,811,25,571,0.411,1616,12.2,612,0.03,1405,
Ledtke,Gerhard,8,140,89,74,126,78,0.497,67,3216.7,107,0.17,96,
Macadam,Ivision S.,8,141,33,373,49,268,0.474,213,1366.4,182,0.1,239,
Mello-Franco,Afranio de,8,142,39,336,52,247,0.477,185,1323.8,188,0.102,231,
Melot,Joseph,8,143,21,599,31,444,0.441,640,3161.7,110,0.043,681,
