Id,Nom,Prenom,Cat1,Cat2,Index
1,Drummond,Eric,SECRG,2,471
473,Murray,Osw. A. R,NGO,2,1
474,Parry,John,NGO,2,46
516,Baker,P. J.,LONO,2,11
525,Bruins,G. W. J.,NGO,2,1
527,Curtis,L. ,LONO,2,1
529,Robert,,GOV,2,1
530,ShepardsonW,Whitney,EDUC,2,2
532,Field,John W.,GOV,2,2
535,Leak,D. A.,LONO,2,1
536,Halecki,Oscar de,SECRS,2,361
864,Weiss,Raymond,IICI,2,5
869,Nitobe,Inazo,SECRS,2,584
1217,Schuster,Sir Arthur,NGO,2,6
1220,Walters,Captain Frank. P.,SECRG,2,77
1247,Lorentz,Hendrik Antoon,CICI,2,96
1308,Destree,Jules,CICI,2,130
1364,Murray,Gilbert,CICI,2,100
1390,Hamel,Van,JUR,2,58
1401,Hiss,Alger,UNI,2,27
1411,Otlet,Paul,NGO,2,58
1416,Pollard,A.F.C.,UNI,2,6
1422,Lafontaine,Henri,NGO,2,48
1427,Hallsten-Kallia ,Arnie,SECRS,1,103
1489,Lloyd,[Edward Mayow Hastings],SECRS,2,5
1492,Salter,Arthur,FINECO,2,16
1498,Monnet,Jean,SECRG,2,3
1500,Nasmyth,Georges,NGO,2,1
1501,Angelescu,,GOV,2,2
1503,Harris,Nugent,NGO,2,2
1504,Parker,Laurence H.,EDUC,3,1
1505,Hoffmann,Conrad,ETU,2,15
1510,Kotschnig ,Walter M.,ETU,2,6
1511,Ames ,Herbert B.,FINADMIN,2,34
1522,Colban,,EDUC,2,4
1523,Picht,Werner,IICI,2,9
1528,Castro,Aloysio de,CICI,2,42
1533,Montenach,Jean-Daniel de,SECRS,2,5
1534,Strachey,C.,GOV,2,2
1535,Dragoni,C.,UNI,2,2
1537,Gurney,Hugh,UNK,2,2
1538,Collins,William,NGO,2,5
1539,Lange,Christian,NGO,2,14
1540,Lloyd George,David,GOV,2,1
1541,Addey,E. L. L. ,NGO,2,1
1542,Costermans,H.,GOV,2,25
1544,Nicolson,Harold,NGO,2,1
1546,Metzger,Max Josef,NGO,2,2
1549,Crompton,R. E.,NGO,2,2
1550,Douglas,H. P.,NGO,2,3
1553,Gouault,E.,UNI,2,1
1554,Schuster,Ernest J.,UNK,2,1
1555,Stevenson,,GOV,1,1
1556,Dent,Edward J.,ARTS,2,2
1558,Castillejo,Jose,RELUN,2,19
1567,Gottl-Ottlilienfeld,Von,RELUN,2,15
1575,Koranyi,Alexandre de,RELUN,2,1
1577,Odhner,Theodore,RELUN,2,4
1578,Oprescu,Georges,SECRS,2,902
2042,Rocco,Alfredo,CICI,2,35
2043,Tanakadate,Aikitu,CICI,2,4
2044,Thamin,R.,UNI,2,4
2045,Vernon Kellogg,,COMNAT,2,31
2046,Bonnevie,Kristine,CICI,1,55
2052,Chapin,J. Stuart ,NGO,2,5
2053,Cowley,A.,BIBLIO,2,6
2056,Jespersen,Otto,UNI,2,2
2057,Schramm,J. R.,BIBLIO,2,14
2058,Knoph,Ragnar,DRINT,2,6
2059,Ruffini,Francesco,CICI,2,43
2064,Harris,F. R.,GOV,2,1
2065,Harris,Robert E.,NGO,2,2
2066,Douwes Dekker,A.M.,NGO,1,1
2068,Ruysch,W.P.,NGO,2,1
2069,Luchaire,Julien,IICI,2,248
2101,Boissier,Leopold,GOV,2,1
2102,Feo,Luciano de,IICE,2,1
2103,Pilotti,Massimo,SECRS,2,4
2106,Elliott,Thomas,UNI,2,2
2107,Bourgeois,Leon,SECRG,2,8
2109,Dop,Louis,NGO,2,2
2111,Conwentz,,GOV,3,1
2112,Delevingne,Malcolm,SOC,2,5
2114,Drygalski,Fritz von,UNI,2,1
2115,Gilson,E.,CULTURE,2,1
2116,Gordon Hewitt,C.,GOV,2,1
2117,Graff,L. von,GOV,2,1
2118,Kaan,Ch.,GOV,2,1
2119,Lonnberg,Einar,CULTURE,2,1
2120,Mackenzie,H. W.,GOV,2,1
2121,Massart,,UNI,3,1
2122,Ostenfeld,C. H.,CULTURE,2,1
2123,Oudemans,J. Th.,DELSDN,2,1
2124,Reynow,,DIPLO,3,1
2125,Sarasin,Paul,NGO,2,3
2126,Tienhoven,P. J. van,NGO,3,1
2127,White,James,GOV,2,1
2128,Wille,N.,NGO,3,1
2129,Decoppet,,NGO,2,4
2131,Depage,A.,NGO,2,1
2132,Heger,Paul,NGO,2,1
2133,May,,NGO,3,1
2134,Bonzon,Alfred,GOV,2,1
2135,Martin,William,OIT,2,9
2136,Spencer,Clarissa H.,NGO,1,1
2137,Piip,A.,UNI,2,2
2139,Willcox,Walter M.,ETU,2,4
2140,Morpurgo,F. A. de,FINADMIN,2,6
2141,Richardson,Hugh,NGO,2,3
2143,Teixidor,,INFO,2,2
2144,Comert,Pierre,INFO,2,31
2149,Golay,Henri,NGO,2,8
2154,Casares,Julio,CICI,2,31
2157,Bonnet,Henri,IICI,2,6
2159,Dumas ,Louis,EDUC,2,1
2161,Lapierre,G.,EDUC,2,2
2162,Rondel,Georges,NGO,2,9
2164,Susta,Joseph,COMNAT,2,3
2166,Boyer,Maurice,UNK,2,3
2169,Gilchrist,Huntington,ADMIN,2,12
2170,Kaeckenbeeck,,LONO,2,5
2172,Haas,Robert,TRANSIT,2,22
2175,Eastman,S. Mack,OIT,2,3
2176,Massoulier,,IICI,2,4
2177,Schubert,W. F.,SECRS,2,1
2178,Terdenge,,GOV,2,1
2179,Zimmern,Alfred,IICI,2,29
2184,Goellner,A. de,IICI,2,1
2187,Baie,Eugene,GOV,2,19
2191,Parodi,,NGO,3,1
2192,Bougle,Celestin,UNI,2,1
2193,Abraham,Gerald H. F.,SECRS,2,1
2194,Avenol,Joseph,SECRG,2,52
2207,Appell,Paul,UNI,2,3
2208,Anzilotti,Dionisio,NGO,2,7
2210,Ferraris,Maggiorino,GOV,2,1
2211,Collijn,Isak,CULTURE,2,4
2212,Bergson,Henri,CICI,2,104
2226,Goet,Jean,DELSDN,2,5
2227,Macara,Charles,NGO,2,1
2228,Dufour-Feronce,Albert,SECRS,2,66
2235,Howard,Jean,NGO,2,2
2236,Torley Duwel,C.L.,UNI,2,2
2237,Levinson,L. ,IICI,2,4
2238,Bula,P. Isart,NGO,2,1
2239,Degollada,J.,NGO,3,1
2240,Plaisant,Marcel,DRINT,2,6
2242,Layton,W. T.,FINECO,2,1
2243,Godet,Marcel,BIBLIO,2,35
2248,Spicer Simson,Gerard B.,NGO,2,71
2269,Jaspar,Henri,GOV,2,8
2270,Melot,Joseph,DELSDN,2,8
2272,Stafford,K. I.,SECRS,1,26
2274,Watterson,P. G.,FINADMIN,2,9
2275,Collin,A.,SOC,1,2
2276,Garnier,Ch. M.,EDUC,2,1
2277,Einstein,Albert,CICI,2,28
2280,Kotze,H.U. Von,SECRS,2,1
2282,Crowdy,Rachel,SOC,1,26
2287,Onderdonk,Francis S.,NGO,2,2
2289,Gallie,Louis,COMNAT,2,10
2291,Ionesco-Mihaiesti,C.,NGO,2,2
2292,Kruss,H. A. ,BIBLIO,2,24
2294,Maurette,Fernand,OIT,2,15
2295,Ostertag,,DRINT,2,9
2297,Pajia,,GOV,2,5
2298,Roland-Marcel,Pierre-Rene,BIBLIO,2,14
2301,Thibaudet,Albert,UNI,2,1
2302,Millikan,Robert Andrew,CICI,2,43
2306,Reynold,Gonzague de,CICI,2,109
2316,Butler,Harold,OIT,2,1
2317,Vandervelde,E.,DELSDN,2,7
2319,Andersen,H. C.,NGO,2,1
2321,Hanslik,Erwin,NGO,2,1
2323,Kokoschka,Oskar,NGO,2,1
2324,Hoffer,Henri. P.,SECRS,2,33
2341,Muskens,,NGO,2,1
2342,Bosanquet,Theodora,FEM,1,20
2344,Jacklin,Seymour,FINADMIN,2,3
2345,Roddolo,,UNK,2,1
2347,Harford,Charles,UNK,2,2
2348,Focillon,Henri,ARTS,2,17
2349,Vejarano,Felix,SECRS,2,1
2350,Mactavish,J. M.,NGO,2,2
2351,Shimonaka,Y.,EDUC,2,2
2353,Ruyssen,Th.,NGO,2,3
2354,Schnabel,Fritz,INFO,2,10
